��¥, �������ڻ�, �򰡱ݾ�, ��������, �򰡼���
20201214, 16,260,730, 13,010,174, 2,046, 63,450
20201215, 16,335,362, 13,215,980, 0, 138,082
20201216, 16,087,797, 12,831,324, 6,196, -115,680
20201221, 17,532,483, 15,852,533, 1,986, 1,327,020
20201223, 17,008,478, 15,520,053, 0, 803,014
20201224, 16,871,027, 15,399,904, 2,944, 662,618
20201228, 31,145,056, 28,740,718, 9,640, -272,996
20201229, 32,365,351, 30,425,583, 15,728, 931,564
20201230, 31,546,413, 29,778,341, 2,582, 110,043
20210106, 31,393,946, 29,640,666, 0, -2,050,947
20210107, 32,192,429, 30,355,244, 8,094, -1,260,558
20210108, 33,769,449, 31,596,591, 42,938, 273,523
20210111, 35,704,250, 34,275,082, 2,399, 2,204,907
20210113, 35,064,901, 34,318,904, 2,330, 1,563,226
20210114, 32,120,725, 31,374,728, 0, -1,380,950
20210115, 30,131,800, 29,958,988, 0, -3,369,876
20210118, 30,386,121, 30,377,549, 8,735, -3,794,291
20210119, 30,205,870, 30,197,298, 0, -3,974,542
20210121, 31,864,076, 30,776,995, 4,179, -3,320,514
20210122, 32,136,650, 30,536,852, 19,153, -3,067,093
20210127, 35,601,560, 31,696,210, 0, -1,624,687
20210128, 34,904,306, 31,404,146, 0, -2,321,942
20210129, 33,747,947, 30,821,241, 0, -3,478,304
20210202, 35,684,850, 31,609,366, 26,394, -2,067,795
20210203, 35,426,681, 31,281,076, 6,141, -2,332,106
20210204, 35,529,354, 31,484,784, 0, -2,229,434
20210205, 35,317,810, 31,049,365, 8,853, -2,449,831
20210208, 34,883,245, 30,614,734, 1,596, -2,885,992
20210210, 34,010,227, 30,133,412, 2,348, -3,763,627
20210215, 34,411,745, 31,800,449, 24,823, -3,386,933
20210216, 33,755,803, 31,227,020, 1,675, -4,044,551
20210219, 30,999,203, 29,133,196, 0, -4,784,162
20210219, 31,053,911, 29,187,904, 0, -4,729,454
20210222, 30,297,358, 28,652,677, 5,367, -5,491,375
20210222, 30,297,358, 28,652,677, 5,367, -5,491,375
20210223, 29,247,528, 28,092,210, 0, -6,541,205
20210223, 29,186,342, 28,031,024, 0, -6,602,391
20210224, 28,090,791, 27,305,662, 0, -7,697,943
20210225, 29,990,203, 28,998,069, 7,595, -5,806,126
20210226, 29,616,325, 28,796,440, 0, -6,881,406
20210304, 30,661,255, 29,834,632, 0, -5,846,595
20210305, 30,292,708, 30,252,201, 0, -6,215,144
20210316, 30,255,045, 29,598,246, 0, -6,295,598
20210317, 29,795,618, 29,138,819, 0, -6,755,025
20210318, 29,790,398, 27,938,640, 41,961, -6,802,206
20210319, 29,673,345, 27,894,797, 0, -6,919,260
20210322, 30,302,478, 28,653,288, 0, -6,290,128
20210323, 30,328,982, 28,676,864, 4,878, -6,268,502
20210325, 31,172,686, 29,757,662, 0, -5,424,800
20210329, 32,351,285, 31,420,833, 0, -4,246,202
20210330, 32,416,692, 30,850,307, 6,006, -4,671,301
20210331, 32,246,932, 30,680,547, 0, -4,841,061
20210401, 32,133,710, 30,567,325, 0, -4,954,283
20210402, 31,767,902, 30,145,905, 6,425, -5,326,516
20210405, 31,158,051, 26,635,485, 198,994, -6,335,361
20210406, 30,960,066, 26,437,500, 0, -6,533,346
20210407, 31,024,836, 26,502,270, 0, -6,468,576
20210408, 29,056,114, 26,683,296, 1,714, -6,231,812
20210409, 28,864,988, 26,433,433, 7,529, -6,430,467
20210412, 29,244,747, 26,812,305, 0, -6,051,595
20210414, 30,467,352, 27,681,568, 6,346, -5,135,336
20210415, 30,329,458, 27,710,978, 0, -5,273,231
20210416, 30,052,548, 27,414,432, 0, -5,569,777
20210419, 30,535,861, 27,702,788, 6,049, -5,092,513
20210420, 29,606,004, 26,967,959, 0, -6,022,370
﻿20210428, 26,651,289, 24,570,988, 0, -8,984,956
﻿20210429, 26,662,390, 25,018,989, 0, -8,973,856
﻿20210430, 26,606,751, 25,344,721, 0, -9,029,496
﻿20210503, 25,264,550, 24,116,617, 0, -10,371,697
﻿20210504, 26,184,020, 25,036,087, 0, -9,452,227
﻿20210506, 25,799,433, 24,651,500, 0, -9,836,814
﻿20210507, 26,784,221, 23,643,182, 169,333, -9,021,359
﻿20210510, 27,446,679, 24,061,802, 10,343, -8,369,244
﻿20210511, 27,005,079, 23,790,657, 0, -8,810,845
﻿20210512, 26,793,304, 23,505,385, 0, -9,522,620
﻿20210513, 26,581,178, 23,893,663, 0, -9,734,746
﻿20210514, 27,463,853, 24,776,338, 0, -8,852,071
﻿20210517, 27,584,228, 24,896,713, 0, -8,731,696
﻿20210518, 27,878,318, 25,179,797, 0, -8,448,612
﻿20210519, 27,877,853, 25,179,332, 0, -8,449,077
﻿20210520, 28,077,885, 25,379,364, 0, -8,249,045
﻿20210521, 27,801,119, 25,544,664, 0, -8,525,811
﻿20210527, 29,277,864, 26,567,783, 0, -7,068,137
﻿20210528, 28,838,716, 26,128,635, 0, -7,507,285
﻿20210531, 28,952,406, 26,242,325, 0, -7,393,595
﻿20210601, 28,731,680, 25,596,440, 15,362, -7,629,683
﻿20210602, 28,204,034, 25,068,794, 0, -8,157,329
﻿20210603, 28,313,546, 25,178,285, 2,422, -8,050,239
﻿20210604, 28,604,678, 25,469,417, 0, -7,759,107
﻿20210607, 28,251,247, 24,633,169, 40,751, -8,153,289
﻿20210608, 28,688,202, 25,070,124, 0, -7,716,334
﻿20210609, 27,997,263, 24,458,651, 0, -8,407,274
﻿20210610, 28,254,881, 24,716,269, 0, -8,149,656
﻿20210611, 28,341,398, 24,802,786, 0, -8,063,139
﻿20210614, 29,462,951, 25,924,339, 0, -6,941,586
﻿20210615, 28,852,753, 25,220,854, 2,764, -7,554,548
﻿20210616, 28,442,049, 24,902,653, 0, -7,965,252
﻿20210617, 28,457,524, 24,918,128, 0, -7,949,777
﻿20210618, 28,743,564, 23,689,843, 47,615, -7,711,352
﻿20210621, 29,349,087, 24,384,239, 0, -7,105,830
﻿20210622, 28,944,719, 23,979,871, 0, -7,510,198
﻿20210623, 29,558,589, 24,593,741, 0, -6,896,328
﻿20210624, 29,351,603, 24,303,526, 4,887, -7,108,201
﻿20210625, 27,923,476, 22,781,991, 5,555, -8,541,883
﻿20210628, 28,056,443, 22,914,958, 0, -8,408,916
﻿20210629, 27,988,198, 23,734,246, 0, -8,477,161
﻿20210630, 28,079,653, 23,825,701, 0, -8,385,706
﻿20210701, 28,102,065, 23,848,113, 0, -8,363,294
﻿20210702, 27,885,556, 23,631,428, 3,572, -8,583,375
﻿20210705, 28,225,377, 23,971,213, 3,536, -8,247,090
﻿20210706, 27,869,270, 23,615,119, 3,497, -8,606,694
﻿20210707, 27,795,457, 23,541,306, 0, -8,680,507
﻿20210708, 27,379,788, 24,113,329, 0, -9,096,178
﻿20210709, 27,666,262, 24,797,356, 0, -9,309,705
﻿20210712, 27,834,645, 24,964,394, 0, -9,142,667
﻿20210713, 27,910,051, 25,039,800, 0, -9,067,261
﻿20210715, 28,200,184, 24,765,340, 23,962, -8,801,090
﻿20210716, 28,408,823, 24,973,979, 0, -8,592,451
﻿20210719, 27,950,840, 24,622,712, 0, -9,050,434
﻿20210720, 28,765,337, 25,530,568, 0, -8,235,937
﻿20210721, 28,594,515, 25,464,841, 0, -8,406,760
﻿20210722, 28,765,299, 25,635,625, 0, -8,235,976
﻿20210723, 28,694,379, 25,547,113, 4,080, -8,310,976
﻿20210726, 28,296,121, 25,184,123, 8,238, -8,717,472
﻿20210727, 28,172,126, 25,060,128, 0, -8,841,467
﻿20210728, 27,680,786, 24,914,639, 0, -9,332,807
﻿20210730, 26,951,291, 24,571,761, 0, -10,062,303
﻿20210802, 28,032,387, 25,756,912, 0, -8,981,207
﻿20210803, 28,313,552, 26,038,077, 0, -8,700,042
﻿20210804, 28,913,193, 26,198,743, 13,012, -8,113,413
﻿20210805, 28,826,109, 25,287,525, 28,525, -8,229,022
﻿20210809, 28,603,864, 24,884,577, 0, -8,751,267
﻿20210810, 28,552,869, 25,828,390, 0, -8,802,264
﻿20210811, 29,839,593, 28,536,806, 0, -7,515,541
﻿20210812, 29,616,224, 29,385,497, 0, -7,738,911
﻿20210817, 31,211,991, 29,595,470, 0, -8,343,145
﻿20210818, 31,198,198, 29,821,015, 0, -8,357,662
﻿20210819, 30,413,769, 29,468,480, 0, -9,142,091
﻿20210820, 29,704,735, 29,176,253, 0, -9,851,125
﻿20210823, 31,461,191, 31,071,329, 0, -8,094,670
